12x20
10,11,9,10,8,9,8,11,10,11,8,10
10,8,9,8,10,11,9,10,8,9,11,8
11,9,11,8,1,1,0,1,10,10,9,8
11,8,8,14,0,0,0,1,15,11,11,10
10,14,1,1,0,1,0,0,1,1,15,9
8,1,1,0,0,0,1,0,0,1,1,8
9,1,1,2,1,2,2,1,0,1,1,11
11,1,1,2,1,1,2,1,0,1,1,8
11,1,1,1,2,1,1,1,0,1,1,10
8,1,2,1,1,2,1,1,2,1,1,8
11,1,2,1,1,1,2,2,1,1,1,11
10,12,2,2,1,1,1,1,1,1,13,10
10,8,12,2,2,1,1,2,1,13,11,9
11,9,8,12,2,2,2,1,13,10,9,11
9,11,10,10,1,2,2,1,9,11,10,8
11,8,7,6,7,6,7,6,7,6,10,8
8,10,4,3,3,4,3,3,3,3,8,11
10,4,5,3,3,3,3,3,3,3,3,8
5,3,3,3,5,3,3,3,3,3,5,3
3,3,4,3,3,3,3,3,5,3,3,3

1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,0,0,1,1,1,1
1,1,1,1,0,0,0,0,1,1,1,1
1,1,0,0,0,0,0,0,0,0,1,1
1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,1,1
1,1,1,0,0,0,0,0,0,1,1,1
1,1,1,1,0,0,0,0,1,1,1,1
1,1,1,1,0,0,0,0,1,1,1,1
1,1,0,0,0,0,0,0,0,0,1,1
1,1,0,0,0,0,0,0,0,0,1,1
1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
