12x30
10,10,10,10,10,10,10,10,10,10,10,10
15,16,4,5,5,5,5,5,5,6,10,10
10,10,2,2,2,2,2,2,2,2,10,11
10,10,8,8,8,8,8,8,8,8,15,10
10,10,10,10,10,10,10,10,10,10,10,10
5,5,5,5,5,6,10,10,10,10,10,10
2,2,2,2,2,2,10,4,5,5,5,5
8,8,8,8,8,8,10,2,2,2,2,2
10,10,10,10,10,10,10,8,8,8,8,8
10,11,10,10,10,10,10,10,10,10,10,10
10,12,4,5,5,5,5,5,6,14,10,10
10,1,0,0,0,0,0,0,0,3,10,16
10,7,2,2,2,2,2,2,2,9,10,10
10,10,8,8,8,8,8,8,8,10,15,16
10,10,10,10,10,10,10,10,10,10,16,10
15,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,11,10,10,10,10,10,10
10,10,10,11,10,10,10,10,10,11,10,10
10,10,10,10,10,10,10,10,10,11,10,10
5,5,5,5,5,5,5,5,5,5,5,5
0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,2,2,2,2,2,2,2,2,2
8,8,8,8,8,8,8,8,8,8,8,8
10,10,10,10,10,10,10,10,10,10,10,10
16,10,11,10,10,10,10,10,10,10,15,16
10,15,11,10,10,10,10,10,10,11,10,10
5,5,5,5,5,5,5,5,5,5,5,5
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0

3,3,3,3,3,3,3,3,3,3,3,3
3,3,0,0,0,0,0,0,0,0,3,3
3,3,0,0,0,0,0,0,0,0,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
0,0,0,0,0,0,3,3,3,3,3,3
3,3,3,3,3,3,3,0,0,0,0,0
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,0,0,0,0,0,0,0,3,3,3
3,0,0,0,0,0,0,0,0,0,3,3
3,3,0,0,0,0,0,0,0,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
